Loading checkpoint models/117M/model.ckpt
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.62it/s]
dataset has 61451752 tokens
Training...
[1 | 8.32] loss=2.05 avg=2.05
[174 | 990.38] loss=1.22 avg=1.41
[175 | 995.76] loss=1.42 avg=1.41
[176 | 1001.06] loss=1.65 avg=1.41
[177 | 1006.29] loss=1.04 avg=1.40
[178 | 1011.70] loss=1.54 avg=1.41
[179 | 1016.91] loss=0.97 avg=1.40
[180 | 1022.13] loss=1.84 avg=1.41
[181 | 1027.36] loss=2.28 avg=1.42
[182 | 1033.06] loss=1.09 avg=1.41
[183 | 1038.26] loss=1.01 avg=1.41
[184 | 1043.43] loss=1.47 avg=1.41
[185 | 1048.68] loss=1.57 avg=1.41
[186 | 1053.98] loss=1.24 avg=1.41
[187 | 1059.30] loss=0.96 avg=1.40
[188 | 1064.53] loss=1.05 avg=1.40
[189 | 1069.56] loss=1.03 avg=1.39
[190 | 1074.61] loss=1.49 avg=1.40
[191 | 1079.74] loss=1.40 avg=1.40
[192 | 1084.91] loss=1.24 avg=1.39
[193 | 1089.92] loss=0.98 avg=1.39
[194 | 1095.05] loss=1.96 avg=1.40
[195 | 1100.19] loss=1.55 avg=1.40
[196 | 1105.34] loss=1.57 avg=1.40
[197 | 1110.44] loss=1.23 avg=1.40
[198 | 1115.52] loss=1.23 avg=1.40
[199 | 1120.69] loss=1.01 avg=1.39
Generating samples...
======== SAMPLE 1 ========
                                  __returns
                  self.update_list()
                       self.pop()
         ''' self.update_list()
self.__returns.pop(values)
def add_list(self, values):
    """ Add an item to an unordered list, and return its first value.
   Arguments:
    {0: True} """
                self.update_list()
                 self.pop()
        ''' self.update_list_as_list(values)

    def update_list(self, values, ):
    """ Increment an item by value
   Arguments:
    {0: False} """
          "Increment"
                Values:
                   value.remove_list()

    """
        
        values = [None, None, None, ...]
    return _update_list(values) ** [None] - [None]

    def update_list(self, values):
    """ Increment an item by value
  Arguments:
    {0: False} """
          "Increment"
                values = [None, None, None, ...]
    print "Increment" - "a list"
    args.pop(values)
    def update_list_as_list(self, values, ):
    """ Increment an item by value
  Arguments:
    {0: False} """
         "Increment"
            values = [[None, None, None, None, None], _update_list](values)

    """
         "Increment"
             values = [None, None, None, None, ...] - [None]

    def pop(self, values):
    """ Pop an item from the list and return its first value after the self.update_list process.
  Examples:
               self.pop().append(values)
                 self.pop().pop()
                self.pop().pop()
                self.pop().pop().pop()

    """
            items = [None, None, None, None, None]

    return _pop/append(values)

    def update_list_as_list(self, values):
    """ Increment an item by value  Arguments:
    {0: True} """
         "Increment"
             values = [None, None, None, None, None], _update_list()

    print "Increment" - "a list"
    return _update_list(values) ** [None] - [None]

    def update_list_as_list(self, values, ):
    """ Increment an item by value
  Arguments:
    {0: False} """
        "Increment"
            values = []
    print "Decrement" - "a list"
    return _update_list(values) ** [None] - [None]

   

[200 | 1204.54] loss=1.28 avg=1.39
[201 | 1209.62] loss=1.22 avg=1.39
[202 | 1214.84] loss=1.23 avg=1.39
[203 | 1220.01] loss=1.06 avg=1.38
[204 | 1225.08] loss=1.22 avg=1.38
[205 | 1230.17] loss=1.70 avg=1.38
[206 | 1235.23] loss=1.38 avg=1.38
[207 | 1240.47] loss=0.88 avg=1.38
[208 | 1245.55] loss=1.27 avg=1.38
[209 | 1250.76] loss=1.53 avg=1.38
[210 | 1255.76] loss=1.28 avg=1.38
[211 | 1260.78] loss=1.04 avg=1.37
[212 | 1265.89] loss=1.23 avg=1.37
[213 | 1271.07] loss=1.92 avg=1.38
[214 | 1276.34] loss=1.13 avg=1.38
[215 | 1281.57] loss=0.89 avg=1.37
[216 | 1286.66] loss=2.04 avg=1.38
[217 | 1291.80] loss=1.11 avg=1.37
[218 | 1296.75] loss=1.31 avg=1.37
[219 | 1301.85] loss=1.37 avg=1.37
[220 | 1307.07] loss=1.69 avg=1.38
[221 | 1312.19] loss=1.36 avg=1.38
[222 | 1317.35] loss=0.77 avg=1.37
[223 | 1322.47] loss=0.85 avg=1.36
[224 | 1327.68] loss=1.75 avg=1.37
[225 | 1332.81] loss=0.57 avg=1.36
[226 | 1338.72] loss=1.78 avg=1.36
[227 | 1344.44] loss=1.17 avg=1.36
[228 | 1349.71] loss=1.17 avg=1.36
[229 | 1355.00] loss=1.12 avg=1.36
[230 | 1360.45] loss=0.93 avg=1.35
[231 | 1365.58] loss=1.26 avg=1.35
[232 | 1370.76] loss=1.91 avg=1.36
[233 | 1375.94] loss=1.12 avg=1.36
[234 | 1381.13] loss=1.25 avg=1.35
[235 | 1386.45] loss=1.16 avg=1.35
[236 | 1391.72] loss=0.89 avg=1.35
[237 | 1397.06] loss=1.23 avg=1.35
[238 | 1402.31] loss=1.92 avg=1.35
[239 | 1407.58] loss=1.52 avg=1.35
[240 | 1412.81] loss=1.53 avg=1.36
[241 | 1418.11] loss=1.16 avg=1.35
[242 | 1423.37] loss=1.27 avg=1.35
[243 | 1428.59] loss=1.49 avg=1.35
[244 | 1433.74] loss=1.11 avg=1.35
[245 | 1438.93] loss=1.74 avg=1.36
[246 | 1444.11] loss=0.79 avg=1.35
[247 | 1449.19] loss=1.12 avg=1.35
[248 | 1454.40] loss=1.47 avg=1.35
[249 | 1459.65] loss=1.53 avg=1.35
[250 | 1464.80] loss=1.31 avg=1.35
[251 | 1470.09] loss=1.58 avg=1.35
[252 | 1475.42] loss=1.58 avg=1.35
[253 | 1480.57] loss=2.25 avg=1.36
[254 | 1485.30] loss=1.60 avg=1.37
[255 | 1490.43] loss=1.41 avg=1.37
[256 | 1495.70] loss=1.75 avg=1.37
[257 | 1500.88] loss=1.24 avg=1.37
[258 | 1506.06] loss=1.63 avg=1.37
[259 | 1511.27] loss=1.64 avg=1.38
[260 | 1516.49] loss=1.35 avg=1.38
[261 | 1521.81] loss=1.49 avg=1.38
[262 | 1527.12] loss=1.30 avg=1.38
[263 | 1532.41] loss=1.32 avg=1.38
[264 | 1537.76] loss=1.03 avg=1.37
[265 | 1542.94] loss=1.07 avg=1.37
[266 | 1548.19] loss=1.64 avg=1.37
[267 | 1553.32] loss=0.85 avg=1.37
[268 | 1558.63] loss=1.51 avg=1.37
[269 | 1563.99] loss=1.12 avg=1.36
[270 | 1569.22] loss=0.47 avg=1.36
[271 | 1574.40] loss=0.89 avg=1.35
[272 | 1579.50] loss=1.55 avg=1.35
[273 | 1584.64] loss=1.07 avg=1.35
[274 | 1589.90] loss=1.14 avg=1.35
[275 | 1595.12] loss=1.77 avg=1.35
[276 | 1600.43] loss=1.29 avg=1.35
[277 | 1605.70] loss=1.62 avg=1.35
[278 | 1610.96] loss=0.99 avg=1.35
[279 | 1616.19] loss=1.81 avg=1.35
[280 | 1621.37] loss=1.24 avg=1.35
[281 | 1626.59] loss=1.62 avg=1.36
[282 | 1631.78] loss=1.82 avg=1.36
[283 | 1637.18] loss=1.50 avg=1.36
[284 | 1642.57] loss=0.66 avg=1.36
[285 | 1647.81] loss=0.98 avg=1.35
[286 | 1653.08] loss=1.21 avg=1.35
[287 | 1658.25] loss=0.98 avg=1.35
[288 | 1663.67] loss=1.43 avg=1.35
[289 | 1668.90] loss=1.81 avg=1.35
[290 | 1674.23] loss=0.67 avg=1.34
[291 | 1679.49] loss=1.22 avg=1.34
[292 | 1684.77] loss=1.34 avg=1.34
[293 | 1690.08] loss=1.57 avg=1.35
[294 | 1695.33] loss=1.35 avg=1.35
[295 | 1700.61] loss=1.28 avg=1.35
[296 | 1705.80] loss=1.21 avg=1.34
[297 | 1711.09] loss=1.17 avg=1.34
[298 | 1716.38] loss=1.33 avg=1.34
[299 | 1721.69] loss=1.01 avg=1.34
Generating samples...
======== SAMPLE 1 ========
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                )                                               
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

[300 | 1808.95] loss=1.03 avg=1.34
[301 | 1814.03] loss=1.11 avg=1.33
[302 | 1819.17] loss=1.54 avg=1.33
[303 | 1824.27] loss=1.40 avg=1.34
[304 | 1829.38] loss=1.79 avg=1.34
[305 | 1834.50] loss=0.91 avg=1.34
[306 | 1839.81] loss=1.59 avg=1.34
[307 | 1845.06] loss=1.13 avg=1.34
[308 | 1850.26] loss=1.28 avg=1.34
[309 | 1855.51] loss=1.40 avg=1.34
[310 | 1860.74] loss=1.51 avg=1.34
[311 | 1865.89] loss=1.71 avg=1.34
[312 | 1871.02] loss=1.17 avg=1.34
[313 | 1876.22] loss=1.21 avg=1.34
[314 | 1881.39] loss=0.91 avg=1.33
[315 | 1886.57] loss=1.49 avg=1.34
[316 | 1891.74] loss=1.11 avg=1.33
[317 | 1896.94] loss=1.44 avg=1.33
[318 | 1902.12] loss=1.28 avg=1.33
[319 | 1907.41] loss=1.10 avg=1.33
[320 | 1912.66] loss=1.46 avg=1.33
[321 | 1917.82] loss=1.20 avg=1.33
[322 | 1923.06] loss=0.97 avg=1.33
[323 | 1928.27] loss=0.90 avg=1.32
[324 | 1933.43] loss=1.25 avg=1.32
[325 | 1938.58] loss=1.72 avg=1.33
[326 | 1943.84] loss=1.23 avg=1.33
[327 | 1949.01] loss=1.92 avg=1.33
[328 | 1954.10] loss=1.11 avg=1.33
[329 | 1959.19] loss=1.05 avg=1.33
[330 | 1964.27] loss=1.56 avg=1.33
[331 | 1969.49] loss=1.11 avg=1.33
[332 | 1974.57] loss=1.38 avg=1.33
[333 | 1979.71] loss=1.33 avg=1.33
[334 | 1985.02] loss=0.81 avg=1.32
[335 | 1990.22] loss=1.27 avg=1.32
[336 | 1995.31] loss=1.65 avg=1.33
[337 | 2000.66] loss=1.29 avg=1.32
[338 | 2006.02] loss=1.14 avg=1.32
[339 | 2011.38] loss=1.23 avg=1.32
[340 | 2016.79] loss=1.91 avg=1.33
[341 | 2022.10] loss=1.62 avg=1.33
[342 | 2027.45] loss=1.56 avg=1.33
[343 | 2032.77] loss=1.67 avg=1.34
[344 | 2038.04] loss=1.08 avg=1.33
[345 | 2043.28] loss=1.22 avg=1.33
[346 | 2048.38] loss=1.65 avg=1.34
[347 | 2053.56] loss=1.84 avg=1.34
[348 | 2058.74] loss=1.76 avg=1.35
[349 | 2063.89] loss=1.04 avg=1.34
[350 | 2068.95] loss=1.00 avg=1.34
[351 | 2074.02] loss=1.80 avg=1.34
[352 | 2079.16] loss=1.67 avg=1.35
[353 | 2084.17] loss=1.93 avg=1.35
[354 | 2089.25] loss=0.88 avg=1.35
[355 | 2094.44] loss=1.02 avg=1.34
[356 | 2099.70] loss=1.40 avg=1.35
[357 | 2104.95] loss=1.15 avg=1.34
[358 | 2110.15] loss=1.65 avg=1.35
[359 | 2115.39] loss=1.58 avg=1.35
[360 | 2120.59] loss=1.16 avg=1.35
[361 | 2125.89] loss=0.93 avg=1.34
[362 | 2131.09] loss=0.96 avg=1.34
[363 | 2136.30] loss=1.40 avg=1.34
[364 | 2141.60] loss=0.82 avg=1.33
[365 | 2146.80] loss=1.00 avg=1.33
[366 | 2152.04] loss=1.17 avg=1.33
[367 | 2157.45] loss=1.73 avg=1.33
[368 | 2162.80] loss=1.28 avg=1.33
[369 | 2168.01] loss=1.02 avg=1.33
[370 | 2173.25] loss=1.38 avg=1.33
[371 | 2178.63] loss=1.05 avg=1.33
[372 | 2183.99] loss=1.09 avg=1.32
[373 | 2189.18] loss=0.77 avg=1.32
[374 | 2194.35] loss=2.26 avg=1.33
[375 | 2199.50] loss=0.94 avg=1.32
[376 | 2204.66] loss=1.00 avg=1.32
[377 | 2209.84] loss=1.56 avg=1.32
[378 | 2214.88] loss=1.20 avg=1.32
[379 | 2220.12] loss=1.18 avg=1.32
[380 | 2225.34] loss=1.27 avg=1.32
[381 | 2230.52] loss=0.94 avg=1.32
[382 | 2235.73] loss=1.90 avg=1.32
[383 | 2240.97] loss=1.21 avg=1.32
[384 | 2246.09] loss=0.98 avg=1.32
[385 | 2251.26] loss=0.95 avg=1.31
[386 | 2256.36] loss=1.95 avg=1.32
[387 | 2261.46] loss=1.49 avg=1.32
[388 | 2266.70] loss=1.08 avg=1.32
[389 | 2271.91] loss=1.80 avg=1.32
[390 | 2277.24] loss=2.23 avg=1.33
[391 | 2282.48] loss=0.69 avg=1.33
[392 | 2287.74] loss=1.63 avg=1.33
[393 | 2292.88] loss=1.03 avg=1.33
[394 | 2298.06] loss=0.79 avg=1.32
[395 | 2303.26] loss=1.61 avg=1.32
[396 | 2308.51] loss=1.61 avg=1.33
[397 | 2313.65] loss=1.31 avg=1.33
[398 | 2318.87] loss=1.18 avg=1.33
[399 | 2324.06] loss=1.89 avg=1.33
Generating samples...
======== SAMPLE 1 ========
 {',
                                '''
         return  }

      return {}, index : {}, index_num : 0 }
     .run('run a.cs', function(self, index) {
        self._index = self._index
        self._index_num = self._index
        self._index = self._index_num
        self._index_num = self._index_num

    __salt__ = self.store, 'sessions'  
     return del self [], index : {}, index_num : 0 }
     self.update(self._index_num, index).run()

    self.update(self._index_num, index_num).run()
     print 'Running a.cs' [dyn.debug(self, 'running'.join_lines())]  [u'def', u'targets_list', u'(', u')', u':', u'int', u'=', u'int32', u'.', u'extend_extension_types', u'.', u'extend_types', u'.', u'extend':', u'(', u')', u'defaults', u'=', u'self', u'.', u'extend', u':', u'[', u'self', u']', u'.', u'update', u'.', u'(', u')', u'setup', u'=', u'self', u'.', u'update', u'.', u'(', u')', u'defaults', u'(', u'', u')', u'=', u'self', u'.', u'setup', u'.', u'trace', u'.', u'[', u'self', u']', u'.', u'update', u'.', u'set', u'.', u'run', u'(', u'self', u',', u'index', u')', u'defaults', u'(', u')', u'defaults', u'=', u'self', u'.', u'sets', u'.', u'update', u'.', u'(', u')', u'defaults', u'(', u'setup', u'.', u'trace', u')'] Run a python script with: # -------------------------    """
        [touches_list] [self, self list_list_list]
        Run a python script with: # ------------------------     """
        self: """Run a python python script with:
        list_list_list Python list.
